Content,KC
<p>Cách viết tập hợp nào dưới đây là <strong>đúng</strong>? </p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<h4 class=""ql-align-justify""><em>Viết số sau:</em> </h4><h4 class=""ql-align-justify"">Ba trăm hai mươi bẩy tỉ bốn trăm chín mươi triệu không trăm ba mươi mốt nghìn năm trăm tám mươi bẩy.</h4>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Tập hợp $C = \left\{ {m;n;a;e;o} \right\}$ có số phần tử là:</p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Tập hợp $A = \left\{ {2024;2025;2026} \right\}$ có số phần tử là:</p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Tập hợp $P = \left\{ {2025;A;E;i;2024} \right\}$ có số phần tử là:</p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Phần tử thuộc tập hợp $E = \left\{ {3;5;7;9;11;13} \right\}$ là:</p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p>Cho $Q$ là tập hợp các số tự nhiên có hai chữ số giống nhau. 	</p><p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Xét tính đúng sai cho các khẳng định sau:</em></p><p><br></p><p class=""ql-align-justify""><br></p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify""><em>Điền từ thích hợp vào chỗ trống. </em></p><p class=""ql-align-justify"">Một tập hợp (gọi tắt là tập) bao gồm những đối tượng nhất định. Các đối tượng ấy được gọi là những __<strong>phần tử</strong> __ của tập hợp.</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify""><em>Điền từ thích hợp vào chỗ trống. </em></p><p class=""ql-align-justify"">Một __<strong>tập hợp</strong>__ (gọi tắt là tập) bao gồm những đối tượng nhất định. Các đối tượng ấy được gọi là những phần tử của tập hợp.</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p><em>Kéo số vào vị trí thích hợp để hoàn thành khẳng định sau: </em>chứa, nằm trong.</p><p>Khi $x$ thuộc $A$, ta còn nói: </p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify"">Cho hai tập hợp: $M = \left\{ {0;4;8;12} \right\}$, $N$ là tập hợp các số tự nhiên lớn hơn $4$ và nhỏ hơn $7.$</p><p><em>Kéo kí hiệu vào vị trí thích hợp để hoàn thành khẳng định sau </em>$ \in ; \notin $<em>.</em></p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify""><em>Nghe đoạn âm thanh sau và chọn đáp án đúng.</em></p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Cho tập hợp $E$ gồm các phần tử $a;b;c;d.$ Khẳng định nào sau đây đúng? </p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Cho tập hợp gồm các phần tử là các số tự nhiên chia hết cho 2 và nhỏ hơn 8. Khẳng định nào sau đây đúng? </p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Cho tập hợp $S$ gồm các phần tử là các số tự nhiên có một chữ số và chia hết cho 3. Tập hợp $S$ có bao nhiêu phần tử? </p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
<p>Cho tập hợp $X$ gồm các phần tử là các số tự nhiên có hai chữ số. Tập hợp $X$ có bao nhiêu phần tử? </p>,"01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify"">Cho $M$ là tập hợp các số nguyên tố có một chữ số. </p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify"">Cho hình vẽ sau: </p><p class=""ql-align-justify""><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1a66e332b597b40cd4c5.png"" style=""max-width: 377px;"" width=""377""></p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify"">Cho hai tập hợp: Tập hợp $A$ gồm các số tự nhiên có một chữ số chia hết cho $2$ và tập hợp $B$ gồm các số tự nhiên có một chữ số chia hết cho $3.$</p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p>Dựa vào hình vẽ sau: </p><p><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1aaee332b597b40cd4e7.png""></p><p>Hãy viết tập hợp $A$. </p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p>Dựa vào hình vẽ sau: </p><p><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1ad6e332b597b40cd503.png""></p><p>Hãy viết tập hợp $B$. </p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p>Dựa vào hình vẽ sau: </p><p><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1af84c435aa8de04e770.png""></p><p>Hãy viết tập hợp $A$. </p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p>Dựa vào hình vẽ sau:</p><p><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1af84c435aa8de04e770.png""></p><p>Hãy viết các phần tử không thuộc tập hợp $A$ và cũng không thuộc tập hợp $B$ là:</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify"">Cho hình vẽ sau: </p><p class=""ql-align-justify""><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1c0ff3065415070224da.png"" style=""max-width: 345px;"" width=""345""></p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p class=""ql-align-justify"">Cho hình vẽ sau: </p><p class=""ql-align-justify""><img src=""https://static-cloud.lotuslms.com/static/aeglobal/2025/06/03/38/68107446cf616b101a0a0238/683f1c35f30654150702250b.png"" style=""max-width: 333px;"" width=""333""></p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>","01.K6.1.1.1 - Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp."
"<p>Cho $B$ là tập hợp các chữ cái xuất hiện trong từ ""GIẢI PHÓNG"". Viết tập hợp $B$ bằng cách liệt kê các phần tử của tập hợp, ta được:</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Viết tập hợp dưới dạng liệt kê các số tự nhiên x chẵn lớn hơn 10 và nhỏ hơn hoặc bằng 18.</p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Viết tập hợp $A$ dưới dạng liệt kê các số tự nhiên lớn hơn $5$ và không vượt quá $8$.</p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p>Số phần tử của tập hợp $I = \{ x|x\,$là số tự nhiên, $10 &lt; x &lt; 20\} $ là:</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Cho tập hợp $C = \left\{ {13;14;15;16;17;18} \right\}$. Nếu viết tập hợp trên dưới dạng chỉ ra tính chất đặc trưng thì cách viết nào dưới đây <strong>đúng</strong>? </p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p class=""ql-align-justify"">Cho $Q$ là tập hợp các số tự nhiên nhỏ hơn hoặc bằng $6$.&nbsp; </p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>: </p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p class=""ql-align-justify""><em>Điền từ thích hợp vào chỗ trống. </em></p><p class=""ql-align-justify"">__Liệt kê__&nbsp; các phần tử của tập hợp, tức là viết các phần tử của tập hợp trong dấu ngoặc $\left\{{} \right\}$ theo thứ tự tùy ý nhưng mỗi phần tử chỉ được viết một lần. </p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p class=""ql-align-justify""><em>Điền từ thích hợp vào chỗ trống. </em></p><p>Liệt kê các phần tử của tập hợp, tức là viết các phần tử của tập hợp trong dấu ngoặc $\left\{ {} \right\}$ theo thứ tự tùy ý nhưng mỗi phần tử chỉ được viết __một lần__</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.1.2 - Sử dụng được cách cho tập hợp
Câu hỏi chỉ có 1 đáp án đúng (thầy cô có thể thay đổi thứ tự của các đáp án),01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p>Viết tập hợp $D$ bằng cách liệt kê, biết tập hợp $D$ là tập hợp các số tự nhiên nhỏ hơn $5$. </p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Viết tập hợp $Y = \left\{ {0;2;4;6;8} \right\}$ bằng cách chỉ ra tính chất đặc trưng cho các phần tử của tập hợp đó.</p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p>Viết tập hợp $A = \{ x|x$ là số tự nhiên lẻ, $x &lt; 10\} $ bằng cách liệt kê các phần tử của tập hợp đó: </p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p>Viết tập hợp $A = \{ x|x$ là số tự nhiên, $6 &lt; x &lt; 12\} $ bằng cách liệt kê các phần tử của tập hợp đó: </p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Viết tập hợp $B = \left\{ {12;13;14;15;16;17} \right\}$ bằng cách chỉ ra tính chất đặc trưng cho các phần tử của tập hợp đó: </p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p class=""ql-align-justify"">Cho tập hợp $S$ là tập hợp các số tự nhiên chẵn lớn hơn $13$ và nhỏ hơn $22$. </p><p class=""ql-align-justify""><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p class=""ql-align-justify"">Cho $A$ là tập hợp các số tự nhiên không vượt quá 5 và $B$ là tập hợp các số tự nhiên lẻ nhỏ hơn 10. </p><p><em>Xét tính đúng sai cho các khẳng định sau</em>:</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p class=""ql-align-justify"">Nghe đoạn âm thanh sau và chọn đáp án đúng.</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Cho tập hợp $B = \left\{ {6;7;8;9;10} \right\}.$ Viết tập hợp $B$ bằng cách chỉ ra tính chất đặc trưng cho các phần tử của nó. </p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Viết tập hợp sau bằng cách liệt kê các phần tử $A = \{ x \in \mathbb{N} \mid 9 &lt; x &lt; 13 \}$</p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
<p>Viết tập hợp các tháng (dương lịch) có 30 ngày trong một năm.</p>,01.K6.1.1.2 - Sử dụng được cách cho tập hợp
"<p>Số phần tử của tập hợp $A$ xác định bởi $ A = \{ x \mid x \in \mathbb{N}, \ x \vdots \ 5 \ và \ x &lt; 40 \} $ là:</p>",01.K6.1.1.2 - Sử dụng được cách cho tập hợp
